ts=1404982520, bytes_sent=38443761, bytes_recv=38443761, packets_sent=125002, packets_recv=125002, errin=0, errout=0, dropin=0, dropout=0
ts=1404982525, bytes_sent=38444832, bytes_recv=38444832, packets_sent=125017, packets_recv=125017, errin=0, errout=0, dropin=0, dropout=0
ts=1404982530, bytes_sent=38444880, bytes_recv=38444880, packets_sent=125018, packets_recv=125018, errin=0, errout=0, dropin=0, dropout=0
ts=1404982535, bytes_sent=38445816, bytes_recv=38445816, packets_sent=125031, packets_recv=125031, errin=0, errout=0, dropin=0, dropout=0
ts=1404982540, bytes_sent=38445816, bytes_recv=38445816, packets_sent=125031, packets_recv=125031, errin=0, errout=0, dropin=0, dropout=0
ts=1404982545, bytes_sent=38447080, bytes_recv=38447080, packets_sent=125048, packets_recv=125048, errin=0, errout=0, dropin=0, dropout=0
ts=1404982550, bytes_sent=38447292, bytes_recv=38447292, packets_sent=125051, packets_recv=125051, errin=0, errout=0, dropin=0, dropout=0
ts=1404982555, bytes_sent=38448344, bytes_recv=38448344, packets_sent=125065, packets_recv=125065, errin=0, errout=0, dropin=0, dropout=0
ts=1404982560, bytes_sent=38448392, bytes_recv=38448392, packets_sent=125066, packets_recv=125066, errin=0, errout=0, dropin=0, dropout=0
ts=1404982565, bytes_sent=38449328, bytes_recv=38449328, packets_sent=125079, packets_recv=125079, errin=0, errout=0, dropin=0, dropout=0
ts=1404982570, bytes_sent=38449328, bytes_recv=38449328, packets_sent=125079, packets_recv=125079, errin=0, errout=0, dropin=0, dropout=0
ts=1404982575, bytes_sent=38571146, bytes_recv=38571146, packets_sent=125782, packets_recv=125782, errin=0, errout=0, dropin=0, dropout=0
ts=1404982580, bytes_sent=38733507, bytes_recv=38733507, packets_sent=126833, packets_recv=126833, errin=0, errout=0, dropin=0, dropout=0
ts=1404982585, bytes_sent=38734443, bytes_recv=38734443, packets_sent=126846, packets_recv=126846, errin=0, errout=0, dropin=0, dropout=0
ts=1404982590, bytes_sent=38734443, bytes_recv=38734443, packets_sent=126846, packets_recv=126846, errin=0, errout=0, dropin=0, dropout=0
